
Project Evaluation Performance Summary:
       87 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib060\ClassLib060.csproj   2 calls
       87 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib044\ClassLib044.csproj   2 calls
       88 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib089\ClassLib089.csproj   2 calls
       88 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib026\ClassLib026.csproj   2 calls
       88 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib028\ClassLib028.csproj   2 calls
       88 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib054\ClassLib054.csproj   2 calls
       89 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib083\ClassLib083.csproj   2 calls
       89 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib051\ClassLib051.csproj   2 calls
       89 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib115\ClassLib115.csproj   2 calls
       90 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib077\ClassLib077.csproj   2 calls
       90 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib046\ClassLib046.csproj   2 calls
       92 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib062\ClassLib062.csproj   2 calls
       92 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib127\ClassLib127.csproj   2 calls
       93 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib064\ClassLib064.csproj   2 calls
       93 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib022\ClassLib022.csproj   2 calls
       94 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib043\ClassLib043.csproj   2 calls
       94 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib068\ClassLib068.csproj   2 calls
       95 ms  C:\G\JBsdk-Test\artifacts\tmp\Release\WebLargeCleanBuild\ClassLib042\ClassLib042.csproj   2 calls
