"Scenario Name","Test Name","Metric","Unit","Iterations","Average","STDEV.S","Min","Max"
".NET Core 2 Console App","Build","Execution Time","ms","1","1843.4435","NaN","1843.4435","1843.4435"
".NET Core 2 Console App","Build (no changes)","Execution Time","ms","1","1412.2615","NaN","1412.2615","1412.2615"
".NET Standard 2.0 Library","Build","Execution Time","ms","1","1830.7509","NaN","1830.7509","1830.7509"
".NET Standard 2.0 Library","Build (no changes)","Execution Time","ms","1","1523.4307","NaN","1523.4307","1523.4307"
"ASP.NET Core MVC app","Build","Execution Time","ms","1","3958.504","NaN","3958.504","3958.504"
"ASP.NET Core MVC app","Build (no changes)","Execution Time","ms","1","1849.152","NaN","1849.152","1849.152"
"Build Web Large","Build","Execution Time","ms","1","35966.715","NaN","35966.715","35966.715"
"Build Web Large","Build (no changes)","Execution Time","ms","1","20534.7286","NaN","20534.7286","20534.7286"
